"Unidade da Federação";"BCG";"Meningococo C";"Hepatite B";"Pneumocócica";"Poliomielite";"Tríplice Viral  D1";" Total"
"11 Rondônia";"102,79";"5,35";"98,73";"23,46";"101,20";"100,41";"73,06"
"12 Acre";"114,23";"0,65";"93,29";"4,86";"104,03";"96,87";"73,64"
"13 Amazonas";"115,98";"2,05";"92,73";"7,59";"92,48";"100,11";"73,11"
"14 Roraima";"113,21";"6,00";"90,85";"23,38";"96,71";"94,49";"72,46"
"15 Pará";"124,65";"2,09";"100,64";"0,69";"103,38";"110,95";"84,59"
"16 Amapá";"115,69";"0,40";"90,14";"4,55";"90,75";"92,10";"70,02"
"17 Tocantins";"100,84";"5,03";"97,54";"35,85";"97,21";"95,33";"73,59"
"21 Maranhão";"125,32";"2,19";"100,24";"0,92";"106,62";"109,99";"83,40"
"22 Piauí";"101,87";"0,40";"95,72";"0,35";"97,02";"97,70";"74,27"
"23 Ceará";"106,60";"23,74";"99,54";"1,50";"101,03";"103,91";"72,96"
"24 Rio Grande do Norte";"113,18";"1,21";"94,28";"19,07";"96,67";"100,72";"75,76"
"25 Paraíba";"110,46";"2,33";"98,07";"31,16";"100,95";"119,28";"88,23"
"26 Pernambuco";"107,59";"2,54";"98,76";"29,05";"101,18";"104,79";"76,19"
"27 Alagoas";"101,57";"3,43";"96,60";"6,65";"100,47";"98,58";"69,33"
"28 Sergipe";"90,89";"0,22";"98,60";"35,70";"99,87";"98,24";"78,39"
"29 Bahia";"106,29";"64,72";"94,43";"2,83";"95,93";"102,97";"77,87"
"31 Minas Gerais";"102,08";"130,47";"96,80";"49,93";"100,41";"99,72";"96,57"
"32 Espírito Santo";"106,86";"25,42";"99,21";"44,66";"103,07";"99,72";"79,82"
"33 Rio de Janeiro";"108,29";"8,36";"90,28";"1,97";"106,87";"94,98";"68,47"
"35 São Paulo";"101,55";"10,79";"95,63";"42,00";"96,60";"94,91";"73,73"
"41 Paraná";"103,82";"5,01";"97,79";"35,36";"99,60";"95,64";"74,62"
"42 Santa Catarina";"103,68";"6,59";"98,74";"56,53";"98,82";"101,30";"79,22"
"43 Rio Grande do Sul";"96,44";"3,33";"90,96";"14,62";"92,34";"93,63";"66,91"
"50 Mato Grosso do Sul";"105,23";"3,56";"96,35";"32,82";"99,64";"100,22";"75,32"
"51 Mato Grosso";"98,65";"2,45";"96,55";"9,42";"100,40";"97,70";"71,14"
"52 Goiás";"118,33";"9,72";"97,55";"19,05";"100,56";"106,82";"76,35"
"53 Distrito Federal";"113,36";"21,46";"91,25";"29,88";"94,20";"92,41";"73,76"
"Total";"106,71";"26,88";"96,08";"24,02";"99,35";"99,93";"76,95"
