"Unidade da Federação";"BCG";"Meningococo C";"Hepatite B";"Penta";"Pneumocócica";"Poliomielite";"Tríplice Viral  D1";" Total"
"11 Rondônia";"106,12";"103,11";"102,76";"24,78";"97,54";"105,68";"105,40";"92,20"
"12 Acre";"105,00";"83,11";"90,68";"16,38";"69,66";"96,07";"90,28";"78,74"
"13 Amazonas";"124,16";"87,70";"93,98";"24,08";"75,35";"91,93";"103,39";"85,80"
"14 Roraima";"118,08";"84,65";"84,34";"28,56";"78,57";"88,78";"87,83";"81,54"
"15 Pará";"113,62";"85,21";"93,35";"14,79";"72,39";"97,78";"102,20";"82,76"
"16 Amapá";"105,80";"86,79";"87,77";"15,78";"75,59";"92,67";"91,55";"79,42"
"17 Tocantins";"98,29";"96,82";"93,49";"36,25";"92,97";"92,75";"91,60";"86,02"
"21 Maranhão";"114,07";"89,16";"97,44";"23,82";"76,27";"97,54";"98,21";"85,22"
"22 Piauí";"96,75";"96,94";"93,04";"22,76";"91,87";"93,91";"98,33";"84,80"
"23 Ceará";"103,02";"96,34";"95,67";"27,48";"89,96";"97,79";"97,61";"86,84"
"24 Rio Grande do Norte";"112,51";"95,25";"97,04";"16,78";"88,47";"93,98";"98,69";"86,10"
"25 Paraíba";"108,66";"86,87";"96,31";"29,20";"83,48";"92,08";"92,72";"84,19"
"26 Pernambuco";"106,89";"100,79";"103,68";"24,89";"95,20";"100,08";"104,59";"90,88"
"27 Alagoas";"107,00";"92,87";"92,56";"29,00";"82,50";"90,22";"93,18";"83,90"
"28 Sergipe";"92,28";"98,07";"96,56";"24,46";"94,97";"96,85";"97,34";"85,79"
"29 Bahia";"99,27";"92,41";"92,25";"6,05";"83,99";"93,26";"97,88";"80,73"
"31 Minas Gerais";"103,34";"100,72";"100,70";"27,81";"98,66";"98,61";"104,88";"90,68"
"32 Espírito Santo";"103,12";"100,98";"101,42";"32,91";"100,49";"104,93";"105,07";"92,70"
"33 Rio de Janeiro";"107,57";"94,60";"92,62";"31,08";"80,27";"96,87";"97,18";"85,74"
"35 São Paulo";"104,01";"98,72";"97,44";"23,96";"89,55";"96,44";"99,54";"87,09"
"41 Paraná";"103,92";"99,86";"99,07";"22,07";"94,94";"96,78";"99,94";"88,08"
"42 Santa Catarina";"104,28";"104,25";"99,42";"33,14";"100,71";"99,97";"100,35";"91,73"
"43 Rio Grande do Sul";"101,24";"94,39";"92,02";"35,19";"89,57";"89,40";"91,61";"84,77"
"50 Mato Grosso do Sul";"105,36";"100,53";"99,51";"30,29";"96,14";"102,28";"100,76";"90,69"
"51 Mato Grosso";"107,44";"98,56";"98,60";"22,58";"88,58";"99,50";"99,32";"87,80"
"52 Goiás";"112,78";"101,40";"102,78";"40,88";"95,85";"101,00";"107,68";"94,62"
"53 Distrito Federal";"106,51";"92,91";"92,46";"31,51";"81,75";"93,65";"92,85";"84,52"
"Total";"105,69";"96,18";"96,67";"24,89";"88,39";"96,55";"99,50";"86,84"
