"Unidade da Federação";"BCG";"Meningococo C";"Hepatite B";"Penta";"Pneumocócica";"Poliomielite";"Pneumocócica(1º ref)";"Meningococo C (1º ref)";"Poliomielite(1º ref)";"Tríplice Viral  D1";"Tetra Viral(SRC+VZ)";" Total"
"11 Rondônia";"108,15";"98,45";"101,44";"96,22";"94,60";"100,07";"93,12";"89,44";"96,10";"106,52";"38,30";"85,20"
"12 Acre";"106,16";"80,32";"84,83";"81,54";"69,00";"92,78";"56,06";"57,47";"82,72";"95,00";"12,84";"68,23"
"13 Amazonas";"116,92";"86,36";"86,43";"84,77";"75,57";"96,83";"76,08";"76,48";"83,64";"98,77";"30,44";"76,02"
"14 Roraima";"94,17";"83,38";"83,52";"82,63";"79,81";"86,48";"74,30";"69,80";"77,83";"89,07";"18,29";"69,94"
"15 Pará";"117,68";"89,92";"93,44";"87,89";"77,96";"96,98";"76,51";"79,38";"89,94";"98,49";"20,14";"77,36"
"16 Amapá";"117,07";"91,36";"92,44";"90,56";"77,89";"93,31";"78,28";"68,43";"87,26";"95,63";"30,17";"76,87"
"17 Tocantins";"92,02";"97,86";"105,07";"98,05";"93,87";"96,97";"88,90";"85,85";"83,22";"102,24";"34,67";"81,56"
"21 Maranhão";"113,39";"93,69";"100,18";"96,48";"86,20";"105,73";"81,01";"84,65";"95,68";"106,37";"23,44";"82,24"
"22 Piauí";"96,50";"94,14";"93,74";"90,16";"90,25";"93,06";"92,48";"88,07";"89,15";"102,35";"30,63";"80,04"
"23 Ceará";"108,63";"100,51";"100,85";"98,03";"93,23";"104,79";"99,17";"94,53";"100,42";"115,15";"27,60";"86,91"
"24 Rio Grande do Norte";"109,15";"92,49";"89,58";"86,89";"85,26";"93,86";"90,89";"84,59";"88,80";"113,05";"30,43";"80,42"
"25 Paraíba";"112,35";"96,81";"100,04";"97,61";"93,34";"108,24";"91,02";"82,26";"99,85";"114,64";"34,19";"85,86"
"26 Pernambuco";"105,68";"99,11";"103,47";"96,17";"93,30";"101,06";"92,91";"93,10";"93,24";"120,77";"30,85";"85,80"
"27 Alagoas";"112,47";"93,67";"95,50";"91,24";"85,19";"97,53";"86,61";"81,48";"81,79";"110,72";"26,91";"80,26"
"28 Sergipe";"96,61";"96,55";"100,05";"98,97";"97,45";"99,41";"103,51";"101,89";"104,98";"111,44";"42,14";"87,75"
"29 Bahia";"101,39";"95,22";"90,64";"84,18";"89,21";"96,40";"90,54";"89,90";"90,55";"109,17";"36,87";"81,17"
"31 Minas Gerais";"104,06";"105,89";"104,11";"102,21";"104,69";"103,24";"105,00";"99,09";"98,98";"108,25";"39,15";"89,56"
"32 Espírito Santo";"104,68";"99,71";"107,36";"97,27";"98,41";"100,22";"97,69";"92,33";"92,75";"106,19";"39,84";"86,37"
"33 Rio de Janeiro";"106,95";"98,16";"96,57";"92,30";"85,26";"99,95";"85,76";"83,17";"81,43";"108,16";"34,03";"80,98"
"35 São Paulo";"103,65";"102,17";"104,37";"97,23";"95,81";"98,95";"96,22";"100,95";"97,18";"103,37";"37,63";"86,46"
"41 Paraná";"110,00";"105,47";"104,45";"101,94";"103,42";"104,65";"102,37";"97,78";"92,08";"110,21";"40,20";"89,38"
"42 Santa Catarina";"102,22";"101,17";"104,61";"97,18";"99,42";"97,78";"98,33";"101,53";"91,23";"104,61";"35,84";"86,16"
"43 Rio Grande do Sul";"110,88";"103,74";"102,56";"101,01";"98,36";"100,28";"90,08";"87,40";"78,72";"105,65";"37,03";"84,64"
"50 Mato Grosso do Sul";"113,25";"113,65";"113,30";"110,67";"111,82";"118,01";"108,02";"101,50";"104,15";"113,91";"35,91";"95,35"
"51 Mato Grosso";"106,72";"99,55";"99,16";"95,84";"93,58";"101,20";"89,96";"91,53";"95,43";"107,76";"30,52";"84,27"
"52 Goiás";"116,43";"106,21";"107,85";"105,57";"101,42";"107,69";"95,52";"94,73";"96,64";"117,77";"32,50";"90,19"
"53 Distrito Federal";"133,19";"111,56";"108,90";"102,86";"101,52";"112,17";"107,22";"104,24";"108,50";"105,23";"44,44";"94,99"
"Total";"107,42";"99,70";"100,56";"95,89";"93,57";"100,71";"93,11";"92,35";"92,92";"107,46";"34,19";"84,82"
