"Unidade da Federação";"BCG";"Hepatite B  em crianças até 30 dias";"Meningococo C";"Hepatite B";"Penta";"Pneumocócica";"Poliomielite";"Pneumocócica(1º ref)";"Meningococo C (1º ref)";"Poliomielite(1º ref)";"Tríplice Viral  D1";"Tetra Viral(SRC+VZ)";" Total"
"11 Rondônia";"110,07";"105,84";"105,68";"106,10";"105,72";"103,92";"108,09";"91,44";"95,18";"92,75";"146,88";"112,79";"107,04"
"12 Acre";"104,59";"32,66";"67,74";"65,21";"64,83";"60,90";"75,44";"47,00";"47,70";"62,17";"99,20";"59,30";"65,56"
"13 Amazonas";"120,39";"98,95";"87,91";"90,05";"89,71";"78,30";"98,86";"76,96";"80,09";"80,87";"114,36";"84,84";"91,77"
"14 Roraima";"103,97";"73,20";"86,14";"87,42";"86,70";"81,12";"89,54";"81,42";"77,98";"81,94";"110,16";"89,83";"87,45"
"15 Pará";"114,80";"94,09";"83,38";"83,71";"83,20";"70,33";"84,36";"67,82";"68,01";"69,14";"115,73";"57,71";"82,69"
"16 Amapá";"118,80";"91,56";"81,94";"78,21";"78,05";"67,78";"80,66";"65,88";"64,20";"73,10";"113,19";"80,98";"82,86"
"17 Tocantins";"103,00";"84,28";"93,73";"94,40";"93,92";"90,64";"90,51";"83,44";"81,74";"80,24";"105,54";"82,22";"90,30"
"21 Maranhão";"108,16";"93,94";"88,30";"90,09";"89,15";"81,40";"93,42";"73,78";"74,76";"80,84";"123,86";"87,39";"90,42"
"22 Piauí";"96,50";"89,25";"84,53";"82,92";"82,53";"81,81";"81,86";"77,28";"77,57";"74,50";"93,10";"61,99";"81,99"
"23 Ceará";"107,40";"86,15";"99,66";"99,59";"98,92";"98,37";"103,92";"96,24";"95,90";"100,69";"140,69";"127,95";"104,62"
"24 Rio Grande do Norte";"108,15";"89,47";"91,44";"89,93";"89,42";"85,67";"95,63";"83,08";"85,00";"86,06";"110,26";"91,87";"92,17"
"25 Paraíba";"111,91";"91,56";"92,23";"93,49";"93,18";"89,96";"100,40";"82,77";"79,10";"89,11";"120,35";"77,44";"93,46"
"26 Pernambuco";"108,55";"79,29";"98,17";"101,80";"98,44";"94,58";"101,68";"88,23";"90,88";"89,28";"108,46";"91,13";"95,87"
"27 Alagoas";"108,03";"86,60";"93,75";"91,65";"90,23";"87,82";"93,32";"84,61";"76,94";"85,35";"113,15";"90,20";"91,80"
"28 Sergipe";"99,77";"125,39";"92,52";"94,41";"94,02";"93,24";"94,25";"93,31";"92,24";"91,95";"94,64";"77,26";"95,25"
"29 Bahia";"101,28";"79,02";"91,26";"92,41";"91,79";"87,91";"93,87";"84,33";"85,92";"85,26";"114,85";"88,80";"91,39"
"31 Minas Gerais";"100,85";"88,03";"99,62";"99,04";"98,75";"97,91";"96,51";"95,66";"93,64";"90,38";"109,22";"78,40";"95,67"
"32 Espírito Santo";"105,52";"89,64";"101,42";"101,41";"99,96";"99,61";"101,25";"94,58";"93,34";"91,67";"109,44";"98,45";"98,86"
"33 Rio de Janeiro";"113,30";"84,23";"98,59";"94,87";"94,32";"88,74";"100,89";"84,83";"85,01";"83,13";"112,48";"96,72";"94,76"
"35 São Paulo";"103,46";"91,83";"97,36";"99,58";"95,46";"100,63";"95,73";"91,50";"94,83";"88,91";"105,02";"98,07";"96,87"
"41 Paraná";"107,97";"76,40";"101,35";"99,40";"99,07";"99,72";"98,76";"94,84";"93,21";"83,25";"113,35";"88,21";"96,30"
"42 Santa Catarina";"107,93";"92,38";"103,38";"100,38";"98,39";"100,22";"97,17";"98,69";"101,36";"88,40";"112,20";"93,16";"99,47"
"43 Rio Grande do Sul";"105,10";"81,04";"97,94";"95,99";"94,81";"94,39";"95,42";"84,70";"85,26";"80,21";"107,74";"81,82";"92,04"
"50 Mato Grosso do Sul";"129,71";"106,89";"130,44";"129,11";"128,18";"125,87";"130,10";"120,54";"115,98";"112,54";"143,76";"103,64";"123,06"
"51 Mato Grosso";"111,78";"104,25";"100,34";"103,23";"101,47";"95,50";"102,47";"90,50";"92,30";"88,58";"120,66";"99,51";"100,88"
"52 Goiás";"115,49";"78,40";"97,74";"94,71";"93,88";"93,13";"97,65";"87,96";"87,66";"87,60";"122,14";"85,99";"95,20"
"53 Distrito Federal";"113,52";"126,20";"98,06";"94,44";"92,60";"102,41";"94,34";"91,81";"87,08";"82,85";"104,91";"93,36";"98,47"
"Total";"107,28";"88,54";"96,36";"96,42";"94,85";"93,45";"96,76";"87,95";"88,55";"86,31";"112,80";"90,19";"94,96"
