"Unidade da Federação";"Meningococo C";"Pneumocócica";"Poliomielite";"Pneumocócica(1º ref)";"Meningococo C (1º ref)";"Poliomielite(1º ref)";"Tríplice Viral  D1";"Tetra Viral(SRC+VZ)";" Total"
"11 Rondônia";"104,02";"104,68";"105,44";"97,84";"92,16";"97,24";"109,00";"94,63";"100,63"
"12 Acre";"88,64";"72,48";"82,74";"59,39";"57,90";"57,94";"84,21";"49,30";"69,08"
"13 Amazonas";"94,91";"84,54";"104,80";"79,07";"80,67";"82,98";"95,42";"77,43";"87,48"
"14 Roraima";"95,34";"89,86";"112,28";"90,61";"88,63";"99,15";"108,45";"92,53";"97,11"
"15 Pará";"76,55";"60,36";"72,09";"61,61";"61,71";"58,78";"71,92";"37,78";"62,60"
"16 Amapá";"88,76";"69,18";"92,38";"65,34";"72,77";"73,15";"89,02";"71,14";"77,72"
"17 Tocantins";"98,73";"93,92";"97,22";"86,36";"83,17";"76,89";"94,70";"52,17";"85,40"
"21 Maranhão";"92,53";"84,05";"100,02";"76,56";"77,06";"77,12";"90,47";"72,06";"83,73"
"22 Piauí";"87,43";"82,38";"80,92";"78,49";"76,34";"61,01";"81,22";"48,23";"74,51"
"23 Ceará";"110,05";"106,34";"113,68";"102,20";"101,32";"105,14";"110,83";"94,42";"105,50"
"24 Rio Grande do Norte";"95,23";"89,02";"97,64";"84,08";"86,11";"82,64";"94,98";"79,93";"88,70"
"25 Paraíba";"94,18";"92,05";"96,12";"81,12";"77,87";"75,59";"93,67";"57,99";"83,57"
"26 Pernambuco";"102,53";"101,07";"109,29";"91,60";"93,92";"97,16";"97,81";"85,85";"97,40"
"27 Alagoas";"95,30";"88,29";"94,25";"84,17";"75,64";"80,99";"98,67";"81,19";"87,31"
"28 Sergipe";"92,95";"92,94";"93,69";"88,72";"86,21";"86,56";"91,99";"74,59";"88,46"
"29 Bahia";"93,76";"90,24";"95,42";"82,60";"84,20";"84,20";"90,18";"73,66";"86,78"
"31 Minas Gerais";"103,38";"100,89";"97,12";"94,11";"92,73";"84,83";"100,11";"66,03";"92,40"
"32 Espírito Santo";"99,66";"99,93";"99,39";"94,17";"91,38";"89,37";"99,04";"85,88";"94,85"
"33 Rio de Janeiro";"104,08";"94,10";"107,03";"91,70";"90,20";"87,69";"105,42";"90,55";"96,34"
"35 São Paulo";"98,62";"99,93";"99,68";"92,71";"94,42";"90,27";"97,91";"94,64";"96,02"
"41 Paraná";"102,77";"101,22";"97,39";"98,23";"91,27";"83,08";"99,44";"74,68";"93,51"
"42 Santa Catarina";"108,57";"106,09";"102,43";"99,89";"101,32";"83,35";"103,42";"80,70";"98,22"
"43 Rio Grande do Sul";"95,57";"90,52";"89,20";"81,50";"82,05";"74,75";"87,81";"59,93";"82,67"
"50 Mato Grosso do Sul";"120,46";"117,25";"120,36";"111,02";"106,37";"100,05";"112,53";"70,74";"107,35"
"51 Mato Grosso";"102,94";"97,53";"102,81";"89,78";"91,47";"86,69";"98,71";"76,73";"93,33"
"52 Goiás";"96,73";"89,88";"95,88";"85,50";"84,25";"78,32";"94,83";"63,24";"86,08"
"53 Distrito Federal";"70,05";"69,91";"74,92";"67,91";"58,93";"69,33";"67,58";"66,33";"68,12"
"Total";"98,19";"94,23";"98,29";"88,35";"87,85";"84,52";"96,07";"77,37";"90,61"
