"Unidade da Federação";"Meningococo C";"Pneumocócica";"Poliomielite";"Poliomielite 4 anos";"Pneumocócica(1º ref)";"Meningococo C (1º ref)";"Poliomielite(1º ref)";"Tríplice Viral  D1";"Tetra Viral(SRC+VZ)";" Total"
"11 Rondônia";"99,65";"103,21";"101,89";"59,28";"88,09";"89,63";"74,30";"101,65";"53,43";"85,69"
"12 Acre";"75,96";"89,64";"78,34";"37,61";"73,34";"67,39";"58,27";"83,11";"59,06";"69,12"
"13 Amazonas";"79,16";"90,04";"79,25";"56,36";"78,69";"76,48";"66,89";"89,81";"58,52";"75,02"
"14 Roraima";"82,15";"93,27";"79,79";"63,95";"78,03";"80,58";"82,78";"99,32";"71,34";"81,46"
"15 Pará";"65,18";"78,83";"69,09";"27,23";"64,61";"59,05";"51,29";"77,30";"48,29";"59,67"
"16 Amapá";"68,30";"78,47";"68,74";"23,17";"64,06";"62,16";"39,14";"77,10";"51,17";"59,43"
"17 Tocantins";"79,72";"100,71";"91,68";"62,70";"89,67";"73,15";"74,95";"91,21";"65,92";"80,96"
"21 Maranhão";"78,18";"89,43";"80,61";"36,57";"73,03";"70,20";"59,03";"84,04";"15,44";"64,67"
"22 Piauí";"84,20";"88,81";"83,71";"48,33";"80,03";"78,35";"57,59";"87,79";"2,94";"68,83"
"23 Ceará";"115,10";"120,59";"111,08";"68,11";"99,00";"100,60";"87,36";"111,46";"11,75";"91,66"
"24 Rio Grande do Norte";"84,30";"94,52";"90,32";"43,10";"80,43";"74,47";"64,76";"88,70";"13,52";"71,08"
"25 Paraíba";"94,91";"100,71";"92,26";"55,53";"78,40";"76,04";"70,48";"96,73";"8,61";"75,10"
"26 Pernambuco";"94,30";"101,48";"94,72";"59,01";"86,12";"85,03";"75,59";"104,72";"11,29";"79,27"
"27 Alagoas";"100,65";"104,33";"96,13";"62,76";"91,97";"91,84";"84,30";"107,18";"19,86";"83,96"
"28 Sergipe";"89,86";"96,94";"89,74";"63,03";"83,00";"81,46";"71,17";"95,47";"1,23";"76,85"
"29 Bahia";"78,30";"84,20";"78,25";"43,23";"71,21";"73,11";"58,11";"82,30";"5,46";"63,90"
"31 Minas Gerais";"98,00";"102,17";"97,75";"75,52";"90,86";"89,99";"82,12";"97,52";"9,73";"82,88"
"32 Espírito Santo";"89,55";"96,32";"90,95";"76,98";"88,89";"81,46";"77,56";"95,47";"7,34";"78,44"
"33 Rio de Janeiro";"87,86";"94,12";"87,48";"59,07";"75,20";"70,70";"67,53";"99,66";"8,88";"72,42"
"35 São Paulo";"88,89";"95,95";"92,55";"75,63";"81,70";"80,98";"76,45";"91,46";"37,16";"80,15"
"41 Paraná";"91,45";"94,48";"90,88";"82,93";"88,07";"87,68";"78,69";"89,78";"63,22";"85,26"
"42 Santa Catarina";"93,13";"93,10";"94,59";"89,80";"86,62";"86,21";"82,26";"92,12";"68,81";"87,37"
"43 Rio Grande do Sul";"82,56";"91,68";"85,70";"77,40";"82,69";"76,79";"76,74";"88,72";"68,63";"81,24"
"50 Mato Grosso do Sul";"94,83";"101,95";"95,95";"98,04";"95,78";"89,04";"101,73";"104,53";"78,83";"95,60"
"51 Mato Grosso";"89,11";"97,50";"90,27";"64,14";"83,88";"80,27";"70,14";"89,77";"60,46";"80,75"
"52 Goiás";"87,63";"91,75";"85,54";"63,32";"82,36";"82,50";"72,40";"87,81";"59,51";"79,29"
"53 Distrito Federal";"88,69";"91,45";"86,03";"73,15";"79,40";"83,37";"70,93";"86,32";"82,12";"82,48"
"Total";"88,49";"95,25";"89,54";"63,62";"81,99";"80,22";"72,83";"92,61";"33,26";"77,65"
