 Projeção da População das Unidades da Federação por sexo e grupos de idade: 2000-2030
População residente por Unidade da Federação e Ano
Faixa Etária 1: 0 a 4 anos
Período:2015-2019
"Unidade da Federação";"2015";"2016";"2017";"2018";"2019"
"11 Rondônia";140771;138798;136935;135197;133580
"12 Acre";85849;85089;84259;83368;82425
"13 Amazonas";402454;398509;394089;389272;384132
"14 Roraima";50684;50165;49630;49079;48514
"15 Pará";773411;762492;751214;739766;728275
"16 Amapá";78505;77764;77056;76379;75718
"17 Tocantins";131141;129286;127485;125747;124085
"21 Maranhão";675876;660953;646128;631676;617737
"22 Piauí";251014;244664;238949;233828;229224
"23 Ceará";690831;680505;670786;661640;653031
"24 Rio Grande do Norte";259349;256027;252960;250143;247554
"25 Paraíba";310943;305512;300286;295318;290641
"26 Pernambuco";720322;708688;697854;687786;678410
"27 Alagoas";289640;283664;277968;272540;267357
"28 Sergipe";176488;174361;172499;170864;169413
"29 Bahia";1154241;1134070;1114626;1095952;1078043
"31 Minas Gerais";1371765;1352750;1334539;1317056;1300177
"32 Espírito Santo";270237;267843;265458;263084;260718
"33 Rio de Janeiro";1028195;1017525;1007396;997589;987944
"35 São Paulo";2874406;2841127;2809738;2779776;2750916
"41 Paraná";748103;738585;729485;720682;712149
"42 Santa Catarina";439113;438584;438051;437451;436755
"43 Rio Grande do Sul";679752;671105;663013;655263;647708
"50 Mato Grosso do Sul";206704;204543;202359;200173;198012
"51 Mato Grosso";258579;255724;252844;249971;247140
"52 Goiás";460912;457302;454001;451005;448263
"53 Distrito Federal";208455;209853;211170;212361;213411
"Total";14737740;14545488;14360778;14182966;14011332
 Fonte:
 
 IBGE/Diretoria de Pesquisas. Coordenação de População e Indicadores Sociais. Gerência de Estudos e Análises da Dinâmica Demográfica.
 Projeção da população do Brasil e Unidades da Federação por sexo e idade para o período 2000-2030
 
