VARIÁVEL;QUESTIONÁRIO DO ALUNO
ANOPESQ;Ano em que a pesquisa foi realizada
PAIS;País
76;Brasil
REGEOGR;Região geográfica
1;Norte
2;Nordeste
3;Sudeste
4;Sul
5;Centro-Oeste
VB00004;Prezado(a) estudante, você concorda em participar dessa pesquisa?
1;Sim
VB01001;Qual é o seu sexo?
1;Masculino
2;Feminino
VB01002;Qual é a sua cor ou raça?
1;Branca
2;Preta
3;Amarela
4;Parda
5;Indígena
99;Não informado
VB01003;Qual é a sua idade?
11;11 anos ou menos
12;12 anos
13;13 anos
14;14 anos
15;15 anos
16;16 anos 
17;17 anos
18;18 anos
19;19 anos ou mais
VB01004;Qual é o mês do seu aniversário?
1;Janeiro
2;Fevereiro
3;Março
4;Abril
5;Maio
6;Junho
7;Julho
8;Agosto
9;Setembro
10;Outubro
11;Novembro
12;Dezembro
99;Não informado
VB01005;Em que ano você nasceu?
1;Antes de 1996
2;1996
3;1997
4;1998
5;1999
6;2000
7;2001
8;2002
9;2003
10;2004 ou mais
99;Não informado
VB01021;Em que ano/série você está?
1;6º ano / 5ª série do Ensino Fundamental
2;7º ano / 6ª série do Ensino Fundamental
3;8º ano / 7ª série do Ensino Fundamental
4;9º ano / 8ª série do Ensino Fundamental
5;1º ano Ensino Médio
6;2º ano Ensino Médio
7;3º ano Ensino Médio
99;Não informado
VB01022;Em que turno você estuda?
1;Manhã
2;Intermediário
3;Tarde
4;Noite
5;Integral
99;Não informado
VB01023;Você estuda em regime integral (tem atividades escolares por 7 horas ou mais horas diárias, durante todo o período escolar)?
1;Sim
2;Não
99;Não informado
VB01024;Você estuda em regime de internato (a escola possui alojamento onde os alunos permanecem e dormem diariamente, durante todo o período escolar)?
1;Sim
2;Não
99;Não informado
VB01025;Qual o grau de escolaridade mais elevado que você pretendo concluir?
1;Ensino Fundamental 
2;Ensino Médio
3;Ensino Médio Técnico
4;Ensino Superior
5;Pós-graduação
6;Não sei
99;Não informado
VB01026;Quando terminar o ciclo/curso que você está frequentando atualmente, você pretende?
1;Somente continuar estudando
2;Somente trabalhar
3;Continuar estudando e trabalhar
4;Seguir outro plano
5;Não sei
99;Não informado
VB01006;Você mora com sua mãe?
1;Sim
2;Não 
99;Não informado
VB01007;Você mora com seu pai?
1;Sim
2;Não
99;Não informado
VB01010A;Contando com você, quantas pessoas moram na sua casa ou apartamento?
1;1 pessoa (moro sozinho)
2;2 pessoas
3;3 pessoas
4;4 pessoas
5;5 pessoas
6;6 pessoas
7;7 pessoas
8;8 pessoas
9;9 pessoas
10;10 pessoas ou mais
99;Não informado
VB01013;Na sua casa tem telefone fixo (convencional)?
1;Sim
2;Não
99;Não informado
VB01014;Você tem celular?
1;Sim
2;Não
99;Não informado
VB01015A;Na sua casa tem computador (de mesa, ou netbook, laptop, etc)?
1;Sim
2;Não
99;Não informado
VB01016;Você tem acesso à internet em sua casa?
1;Sim
2;Não
99;Não informado
VB01017;Alguém que mora na sua casa tem carro?
1;Sim
2;Não
99;Não informado
VB01018;Alguém que mora na sua casa tem moto?
1;Sim
2;Não
99;Não informado
VB01019;Quantos banheiros com chuveiro têm dentro da sua casa?
1;Não tem banheiro com chuveiro dentro da minha casa
2;1 banheiro 
3;2 banheiros
4;3 banheiros
5;4 banheiros ou mais
99;Não informado
VB01020A;Tem empregado(a) doméstico(a) recebendo dinheiro para fazer o trabalho em sua casa, três ou mais dias por semana?
1;Sim
2;Não
99;Não informado
VB01008A;Qual nível de ensino (grau) sua mãe estudou ou estuda?
1;Minha mãe não estudou
2;Minha mãe começou o ensino fundamental ou 1º grau, mas não terminou
3;Minha mãe terminou o ensino fundamental ou 1º grau
4;Minha mãe começou o ensino médio ou 2º grau, mas não terminou
5;Minha mãe terminou o ensino médio ou 2° grau
6;Minha mãe começou a faculdade (ensino superior), mas não terminou
7;Minha mãe terminou a faculdade (ensino superior)
8;Não sei
99;Não informado
VB01011;Você tem algum trabalho, emprego ou negócio atualmente?
1;Sim
2;Não
99;Não informado
VB01012;Você recebe dinheiro por este trabalho, emprego ou negócio?
-1;Pulo no questionário
1;Sim
2;Não
99;Não informado
VB02019A;Você costuma tomar o café da manhã?
1;Sim, todos os dias
2;Sim, 5 a 6 dias por semana
3;Sim, 3 a 4 dias por semana
4;Sim, 1 a 2 dias por semana
5;Raramente
6;Não
99;Não informado
VB02017A;Você costuma almoçar ou jantar com sua mãe, pai ou responsável? 
1;Sim, todos os dias
2;Sim, 5 a 6 dias por semana
3;Sim, 3 a 4 dias por semana
4;Sim, 1 a 2 dias por semana
5;Raramente
6;Não
99;Não informado
VB02018A;Você costuma comer quando está assistindo à TV ou estudando?
1;Sim, todos os dias
2;Sim, 5 a 6 dias por semana
3;Sim, 3 a 4 dias por semana
4;Sim, 1 a 2 dias por semana
5;Raramente
6;Não
99;Não informado
VB02021;Sua escola oferece comida (merenda escolar/almoço) aos alunos da sua turma? (Não considerar lanches/comida comprados na cantina)
1;Sim
2;Não
3;Não sei
99;Não informado
VB02020A;Você costuma comer a comida (merenda/almoço) oferecida pela escola? (Não considerar lanches/comida comprados na cantina).
-1;Pulo no questionário
1;Sim, todos os dias
2;Sim, 3 a 4 dias por semana
3;Sim, 1 a 2 dias por semana
4;Raramente
5;Não
99;Não informado
VB02001;NOS ÚLTIMOS 7 DIAS, em quantos dias você comeu feijão?
1;Não comi feijão nos últimos 7 dias (0 dia)
2;1 dia nos últimos 7 dias 
3;2 dias nos últimos 7 dias 
4;3 dias nos últimos 7 dias 
5;4 dias nos últimos 7 dias 
6;5 dias nos últimos 7 dias 
7;6 dias nos últimos 7 dias 
8;Todos os dias nos últimos 7 dias
99;Não informado
VB02002;NOS ÚLTIMOS 7 DIAS, em quantos dias você comeu salgados fritos? Exemplo: batata frita (sem contar a batata de pacote) ou salgados fritos como coxinha de galinha, quibe frito, pastel frito, acarajé etc.
1;Não comi salgados fritos nos últimos 7 dias (0 dia)
2;1 dia nos últimos 7 dias
3;2 dias nos últimos 7 dias
4;3 dias nos últimos 7 dias
5;4 dias nos últimos 7 dias
6;5dias nos últimos 7 dias
7;6 dias nos últimos 7 dias
8;Todos os dias nos últimos 7 dias
99;Não informado
VB02004A;NOS ÚLTIMOS 7 DIAS, em quantos dias você comeu pelo menos um tipo de legume ou verdura? Exemplos: alface, abóbora, brócolis, cebola, cenoura, chuchu, couve, espinafre, pepino, tomate etc. Não inclua batata e aipim (mandioca/macaxeira).
