 Mortalidade - Brasil
Óbitos p/Ocorrênc por Região/Unidade da Federação e Ano do Óbito
Categoria CID-10: O03   Aborto espontaneo, O04   Aborto p/razoes medicas e legais, O05   Outr tipos de aborto, O06   Aborto NE, O07   Falha de tentativa de aborto
Período:1996-2019
"Região/Unidade da Federação";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"Região Norte";9;8;5;10;7;9;6;10;11;8;9;10;8;8;6;9;10;13;5;9;4;10;14;8;206
".. Rondônia";3;-;-;1;-;1;1;1;1;1;-;-;1;1;-;-;-;2;1;2;1;-;-;-;17
".. Acre";1;-;1;-;-;-;-;1;-;1;-;1;-;1;1;-;1;-;-;-;-;1;1;-;10
".. Amazonas";2;4;1;2;4;2;-;1;2;1;2;1;1;2;2;5;1;5;1;2;2;2;5;2;52
".. Roraima";-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;2;4;2;12
".. Pará";3;3;3;4;2;2;3;6;6;4;4;7;3;1;2;2;6;4;3;2;1;3;2;4;80
".. Amapá";-;1;-;1;1;1;-;-;1;1;3;-;-;1;1;2;2;2;-;2;-;2;2;-;23
".. Tocantins";-;-;-;2;-;1;2;1;1;-;-;1;2;2;-;-;-;-;-;-;-;-;-;-;12
"Região Nordeste";27;25;9;19;16;29;26;35;35;24;31;24;17;29;20;23;18;23;11;24;12;19;16;12;524
".. Maranhão";7;2;1;2;2;5;5;7;3;7;6;4;3;5;2;4;4;5;2;5;4;5;4;4;98
".. Piauí";1;-;-;-;-;2;1;1;1;-;4;1;1;3;-;5;1;3;1;1;1;1;2;-;30
".. Ceará";5;5;3;5;2;6;4;7;6;4;2;5;2;2;2;1;2;2;1;1;2;1;4;1;75
".. Rio Grande do Norte";-;2;1;-;1;1;2;2;2;1;1;1;1;-;-;-;-;-;-;-;-;2;-;-;17
".. Paraíba";2;4;-;-;-;2;1;1;1;1;-;-;-;-;1;-;1;2;1;1;-;-;1;1;20
".. Pernambuco";1;8;3;3;5;3;2;5;8;1;2;4;2;4;3;4;3;1;-;5;-;3;3;2;75
".. Alagoas";1;-;-;2;-;-;1;-;3;-;-;-;2;4;-;1;1;3;-;4;-;-;-;-;22
".. Sergipe";1;-;-;-;-;1;2;2;1;-;2;-;3;4;3;4;-;3;2;-;1;1;-;-;30
".. Bahia";9;4;1;7;6;9;8;10;10;10;14;9;3;7;9;4;6;4;4;7;4;6;2;4;157
"Região Sudeste";37;55;44;42;40;41;35;36;31;36;39;27;39;45;44;36;28;32;24;23;28;30;23;18;833
".. Minas Gerais";8;7;4;3;9;8;6;6;8;11;10;3;4;7;8;4;7;6;4;4;7;2;6;4;146
".. Espírito Santo";2;1;1;3;2;-;2;-;-;7;1;-;2;2;1;2;-;1;4;2;1;3;-;-;37
".. Rio de Janeiro";9;19;16;12;16;14;14;20;12;9;12;8;17;12;13;9;13;13;6;8;10;15;6;10;293
".. São Paulo";18;28;23;24;13;19;13;10;11;9;16;16;16;24;22;21;8;12;10;9;10;10;11;4;357
"Região Sul";18;15;11;14;18;12;4;7;15;20;8;7;4;10;4;4;7;5;4;7;5;5;5;5;214
".. Paraná";6;4;6;8;10;3;4;3;7;9;3;3;-;6;-;1;1;3;2;4;2;2;2;2;91
".. Santa Catarina";3;4;-;2;2;3;-;1;-;2;2;3;1;-;2;1;1;1;2;1;-;-;2;1;34
".. Rio Grande do Sul";9;7;5;4;6;6;-;3;8;9;3;1;3;4;2;2;5;1;-;2;3;3;1;2;89
"Região Centro-Oeste";6;15;8;7;6;7;7;4;7;8;5;5;8;6;5;5;6;6;11;9;7;4;10;-;162
".. Mato Grosso do Sul";-;4;-;2;-;4;4;-;1;1;-;2;2;2;1;4;1;-;3;3;1;-;2;-;37
".. Mato Grosso";3;4;2;1;5;-;1;-;3;1;2;1;1;1;2;-;1;-;2;4;2;2;2;-;40
".. Goiás";1;2;2;2;-;2;2;3;1;-;1;2;-;2;1;1;-;-;3;1;3;1;5;-;35
".. Distrito Federal";2;5;4;2;1;1;-;1;2;6;2;-;5;1;1;-;4;6;3;1;1;1;1;-;50
"Total";97;118;77;92;87;98;78;92;99;96;92;73;76;98;79;77;69;79;55;72;56;68;68;43;1939
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 
